Data;Transporte aéreo - passageiros embarcados - voos domésticos - Pessoa - Agência Nacional de Aviação Civil (Anac) - ANAC_PAXDOM;
1969;2509347;
1970;2603559;
1971;3057834;
1972;3688932;
1973;4632856;
1974;5503244;
1975;6145225;
1976;7185956;
1977;7845831;
1978;8710777;
1979;9700240;
1980;10608379;
1981;10740319;
1982;11364685;
1983;10877506;
1984;10252787;
1985;11290000;
1986;14060000;
1987;14067000;
1988;13449000;
1989;15312000;
1990;14299000;
1991;14574000;
1992;11460613;
1993;11098600;
1994;11431556;
1995;12004584;
1996;11533478;
1997;13277408;
1998;16460768;
1999;15754623;
2000;29045974;
2001;30823111;
2002;31018823;
2003;29113657;
2004;32073827;
2005;38715856;
2006;43222612;
2007;47437361;
2008;50151902;
2009;57123672;
2010;70148029;
2011;82072795;
2012;88688896;
2013;90239471;
2014;95913262;
2015;96181133;
2016;88680274;
2017;90626774;
2018;93645213;
2019;95280301;
